date,tokenproduced,tokenconsumed,tokenleft,oneframetoken,TimeSpent,Count
2020-01-22,10,12,0,10,-3 days +13:00:00,10
2020-01-23,12,14,0,12,-3 days +10:00:00,12
2020-01-24,10,13,0,10,-3 days +17:00:00,10
2020-01-25,12,13,0,12,-3 days +11:00:00,12
2020-01-26,16,21,0,16,-4 days +09:00:00,16
2020-01-27,15,16,0,15,-4 days +15:00:00,15
2020-01-28,10,10,0,10,-3 days +19:00:00,10
2020-01-29,18,18,0,18,-5 days +08:00:00,18
2020-01-30,16,17,0,16,-4 days +09:00:00,16
2020-01-31,24,28,0,24,-6 days +12:00:00,24
2020-02-01,20,20,0,20,-5 days +18:00:00,20
2020-02-02,18,19,0,18,-5 days +15:00:00,18
2020-02-03,18,19,0,18,-4 days +07:00:00,18
2020-02-04,16,16,0,16,-4 days +06:00:00,16
2020-02-05,21,25,0,21,-5 days +05:00:00,21
2020-02-06,18,19,0,18,-5 days +17:00:00,18
2020-02-07,24,25,0,24,-6 days +08:00:00,24
2020-02-08,23,24,0,23,-6 days +11:00:00,23
2020-02-09,42,24,0,23,-5 days +00:00:00,23
2020-02-10,16,19,0,16,-4 days +06:00:00,16
2020-02-11,17,20,0,17,-4 days +15:00:00,17
2020-02-12,27,30,0,27,-6 days +08:00:00,27
2020-02-13,24,25,0,24,-6 days +14:00:00,24
2020-02-14,10,10,0,10,-2 days +03:00:00,10
2020-02-15,27,29,0,27,-7 days +17:00:00,27
2020-02-16,22,24,0,22,-6 days +11:00:00,22
2020-02-17,17,23,0,17,-5 days +20:00:00,17
2020-02-18,21,25,0,21,-5 days +05:00:00,21
2020-02-19,33,23,0,20,-5 days +03:00:00,20
2020-02-20,17,18,0,17,-4 days +03:00:00,17
2020-02-21,24,26,0,24,-6 days +09:00:00,24
2020-02-22,21,26,0,21,-5 days +12:00:00,21
2020-02-23,13,16,0,13,-4 days +19:00:00,13
2020-02-24,15,16,0,15,-4 days +23:00:00,15
2020-02-25,20,21,0,20,-5 days +17:00:00,20
2020-02-26,19,23,0,19,-5 days +15:00:00,19
2020-02-27,19,20,0,19,-5 days +14:00:00,19
2020-02-28,20,23,0,20,-5 days +20:00:00,20
2020-02-29,42,18,0,17,-5 days +19:00:00,17
2020-03-01,17,18,0,17,-4 days +03:00:00,17
2020-03-02,17,18,0,17,-4 days +06:00:00,17
2020-03-03,18,20,0,18,-5 days +16:00:00,18
2020-03-04,16,17,0,16,-4 days +05:00:00,16
2020-03-05,23,23,0,23,-6 days +14:00:00,23
2020-03-06,16,19,0,16,-4 days +13:00:00,16
