date,tokenproduced,tokenconsumed,tokenleft,oneframetoken,TimeSpent,Count
2020-01-22,10,10,0,10,0 days 16:00:00,10
2020-01-23,12,12,0,12,0 days 18:00:00,12
2020-01-24,10,10,0,10,0 days 12:00:00,10
2020-01-25,12,12,0,12,0 days 15:00:00,12
2020-01-26,16,16,0,16,0 days 23:00:00,16
2020-01-27,15,15,0,15,1 days 01:00:00,15
2020-01-28,10,10,0,10,0 days 14:00:00,10
2020-01-29,18,18,0,18,1 days 05:00:00,18
2020-01-30,16,16,0,16,0 days 21:00:00,16
2020-01-31,24,24,0,24,1 days 13:00:00,24
2020-02-01,20,20,0,20,1 days 04:00:00,20
2020-02-02,18,18,0,18,0 days 23:00:00,18
2020-02-03,18,18,0,18,1 days 01:00:00,18
2020-02-04,16,16,0,16,1 days 00:00:00,16
2020-02-05,21,21,0,21,1 days 09:00:00,21
2020-02-06,18,18,0,18,1 days 04:00:00,18
2020-02-07,24,24,0,24,1 days 13:00:00,24
2020-02-08,24,23,1,23,1 days 23:29:00,24
2020-02-09,42,42,1,42,3 days 20:29:00,43
2020-02-10,16,16,1,16,3 days 08:29:00,17
2020-02-11,17,17,1,17,4 days 10:29:00,18
2020-02-12,27,27,1,27,6 days 04:29:00,28
2020-02-13,24,24,1,24,6 days 17:29:00,25
2020-02-14,10,10,1,10,6 days 21:29:00,11
2020-02-15,27,27,1,27,9 days 01:29:00,28
2020-02-16,22,22,1,22,10 days 01:29:00,23
2020-02-17,17,17,1,17,10 days 16:29:00,18
2020-02-18,21,21,1,21,11 days 19:29:00,22
2020-02-19,32,33,0,32,12 days 23:59:00,33
2020-02-20,17,17,0,17,0 days 22:00:00,17
2020-02-21,24,24,0,24,1 days 15:00:00,24
2020-02-22,21,21,0,21,1 days 08:00:00,21
2020-02-23,13,13,0,13,1 days 00:00:00,13
2020-02-24,15,15,0,15,0 days 22:00:00,15
2020-02-25,20,20,0,20,1 days 04:00:00,20
2020-02-26,19,19,0,19,1 days 03:00:00,19
2020-02-27,19,19,0,19,1 days 04:00:00,19
2020-02-28,20,20,0,20,1 days 05:00:00,20
2020-02-29,42,42,0,42,2 days 20:00:00,42
2020-03-01,17,17,0,17,1 days 00:00:00,17
2020-03-02,17,17,0,17,1 days 05:00:00,17
2020-03-03,18,18,0,18,1 days 04:00:00,18
2020-03-04,16,16,0,16,1 days 01:00:00,16
2020-03-05,23,23,0,23,1 days 11:00:00,23
2020-03-06,16,16,0,16,0 days 20:00:00,16
2020-03-07,13,13,0,13,0 days 20:00:00,13
2020-03-08,16,16,0,16,1 days 00:00:00,16
2020-03-09,15,15,0,15,1 days 00:00:00,15
2020-03-10,47,47,0,47,2 days 22:00:00,47
2020-03-11,18,18,0,18,1 days 04:00:00,18
2020-03-12,13,13,0,13,0 days 19:00:00,13
2020-03-13,28,28,0,28,1 days 16:00:00,28
2020-03-14,18,18,0,18,0 days 23:00:00,18
2020-03-15,23,23,0,23,1 days 13:00:00,23
2020-03-16,20,20,0,20,1 days 08:00:00,20
2020-03-17,13,13,0,13,0 days 17:00:00,13
2020-03-18,24,24,0,24,1 days 11:00:00,24
2020-03-19,16,16,0,16,0 days 23:00:00,16
2020-03-20,34,34,0,34,2 days 00:00:00,34
2020-03-21,23,23,0,23,1 days 14:00:00,23
2020-03-22,9,9,0,9,0 days 11:00:00,9
2020-03-23,15,15,0,15,0 days 22:00:00,15
